Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13
164.78,2377.25,5.75,858.19,13.05,1194.33,0.51,0,1.02,192.51,10403.25,13861.01,3691.54,12356.68
0.19,2690,0,773.54,11.5,1004.75,0.5,0,0,95.11,0,45489.49,40382,3261.66
264.75,1611.5,24.22,814.91,19.71,1340.86,0.62,0,0.29,1207.65,4701.86,11244,1557.24,2616.77
220.15,2698.25,35.2,941.95,9.87,935.08,0.64,0,0.12,359,22665.56,30135.15,21181.3,8419.47
167.47,1561.25,15.49,890.7,17.02,1181.39,0.71,0,0.21,373.18,24329.56,37257.58,32382.83,668.96
242.45,1788.25,23.02,958.24,16.02,1110.69,0.72,0,0.21,645.58,2011.84,35057.77,6778.46,1551.61
175.54,1549.25,24.19,1021.5,17.38,1164.45,0.61,0,0.4,237.52,779.42,29338.16,11452.84,12683.36
264.75,2789.75,25.27,821.72,10.21,1050.95,0.7,0,0.14,128,8661.84,41359.49,19164.75,3950.63
164.78,1801.75,5.89,897.43,16.45,1220.27,0.57,0,0.9,465.02,3653.42,33657.5,2593.74,3070.42
264.75,2984.25,6.5,903.25,10.05,976.69,0.65,0,0.17,404.85,28439.19,33706.49,23653.91,5838.45
264.75,2284.35,21.67,890.21,15.27,1143.2,0.68,0,0.44,412.86,7089.73,21251.55,15593.91,96.23
264.75,2434.25,5.35,864.96,12.86,1181.12,0.54,0,0.86,151.89,11516.4,16677.15,606.22,14922.72
175.54,2576.5,10.03,872.43,11.89,1119.28,0.6,0,0.43,150.52,13798.82,19342.38,11292.81,18554.99
264.75,1848.75,17.07,842.41,17.78,1203.44,0.69,0,0.12,1207.2,8900.98,11136.76,4306.68,6150.41
197.84,1459.25,24.82,982.95,16.99,1169.26,0.69,0,0.52,181.09,11191.4,30300.62,85.36,21670.89
189.77,1986,13.4,881.62,15.62,1180,0.65,0,0.29,471.39,17503.93,46174.97,32150,3556.33
164.78,2627.46,2.27,763.02,11.54,1147.75,0,0,0.58,158.69,7493.07,56099.41,38753.08,1600.21
264.75,3073,36.8,838.49,7.06,917.66,0.68,0,0.11,51.81,7091.37,21895.38,7736.12,6114.53
264.75,2165.16,28.31,756.12,14.7,1234.01,0.58,0,0.16,44.73,1971.5,62260.91,58493.7,13745.06
18.48,1209.25,10.47,821.81,21,1401.81,0.35,38.73,51.47,1839.39,2316.89,1558.04,2351.78,100
164.78,2079,9.13,812.93,13.85,1163.04,0.63,0,0.2,169.12,10928.29,32431.58,21537.58,3323.78
264.75,3218.75,8.27,894.84,8.38,957.97,0.68,0,0.12,161.78,8065.2,9280.49,9619.12,9053.59
264.75,2152.25,9.68,852.29,16.1,1197.49,0.4,0,0.89,376.72,3933.71,35133,6867.86,4315.96
264.75,3218.75,21.89,808.59,7.83,952,0.68,0,0.14,112.89,12967.94,37918.43,26738.13,10353.14
264.75,2112.5,18.15,1000.7,14.16,1089.88,0.76,0,0.62,652.78,13854.51,18402.38,2658.48,12732.93
264.75,3141.5,21.85,797.83,9.07,1021.41,0.64,0,0.05,187.52,14853.54,25857.45,13752.36,4138.54
214.76,1833.5,28.15,995.72,15.99,1139.87,0.72,0,0.2,210.23,4119.16,26614.42,12067.62,20998.75
220.15,2919,33.84,947.82,11.45,982.54,0.66,0,0.28,357.29,19029.06,31338.91,19164.75,11665.65
264.75,2964.53,31.63,809.01,10,1005.13,0.75,0,0.1,142.52,28035.52,17864.03,1464.47,8903.47
242.45,1285.75,39.5,994.25,16.74,1158,0.59,0,0.19,160.4,150,37125.83,11447.6,11069.21
132.47,1474,42.6,992.02,16.9,1184.68,0.7,0,0.51,1532.43,342.98,40352.54,20343.24,13241.13
175.54,1000.5,10.35,839.17,21.68,1428.95,0.38,3.5,1.48,25825.44,151.61,8778.81,25,1160.82
175.54,1589.25,8.08,831.24,18.93,1316.54,0.46,0,0.76,1525.27,433.01,22091.34,1451.72,9066.83
242.45,3627.75,5.73,855.03,6.04,872.82,0.6,0,0.06,141.14,9217.78,34323.86,7836.29,14630.36
164.78,1465.5,14.76,967.04,16.96,1157.53,0.65,0,0.2,173.73,7196.35,37150.07,4596.47,9951.26
264.75,1345.75,25.2,865.85,18.38,1205.75,0.57,0,0.71,367.38,13761.81,35403.78,31986.37,151.61
264.75,1854.1,24.28,873.35,15.71,1143.24,0,0,0.12,1177.42,8863.95,19236.03,10219.31,5821.16
164.78,1657.6,25.55,768.11,15.3,1255.63,0,0,0.33,62.62,500.3,64625.61,60396.43,15606.88
167.47,1468,10.52,888.72,17.61,1193.81,0.66,0,1.11,434.44,18407.81,45256.24,38964.05,1750
264.75,2669.75,29.6,861.19,12.18,1089.78,0.58,0,0.4,154.34,10392.67,15752.06,8835.58,5955.46
264.75,2506.5,14.78,887.73,12.47,1169.71,0.53,0,0.47,169.67,7430.18,19029.65,16847.18,17197.89
242.45,2986,10.51,884.52,9.74,1012.69,0.66,0,0.12,330.39,29030.8,35862.62,21796.96,3093.14
264.75,2112.75,17.6,950.31,14.22,1086.33,0.73,0,0.59,518.08,8912.21,41930.03,17949.03,2616.77
264.75,2590.5,20.61,846.58,11.56,1060.99,0.67,0,0.27,158.75,30073.37,35750.91,11987.81,5210.33
239.76,3053.25,26.37,971.42,8.82,930.17,0.77,0,0.02,146.77,12726.65,45884.72,21180.83,25963.96
264.75,1802.75,19.36,843.73,17.81,1239.86,0.61,0,0.17,1233.39,6554.96,8223.59,357.05,6609.65
264.75,1721.5,17.49,857.33,17.11,1195.32,0.75,0,0.36,461.91,10430.13,38691.44,32935.5,8411.15
220.15,1856,20.64,1008.04,15.53,1120.18,0.69,0,0.07,658.58,9856.34,15226.54,125,12563
175.54,2799.5,8.35,1003.12,11.03,959.72,0.69,0,0.09,318.34,12058.5,29172.72,8697.56,8044.1
264.75,2071.74,20.34,871.28,15.05,1087.73,0.72,0,0.05,1334.01,7213.8,20089.47,9796.44,10473.76
264.75,3184.75,22.18,822.42,8.74,966.92,0.66,0,0.06,134.09,9428.02,40833.9,30076.03,4893.62
175.54,3515,23.41,943.59,6.06,869.05,0.67,0,0.04,169.89,16350.15,28073.61,6958.99,22231.23
264.75,3168,27.13,945.77,8.43,918.88,0.8,0,0.07,160.86,18315.77,30985.92,1710.99,25278.99
132.47,2750,30.02,932.3,9.54,1003.75,0.71,0,0.09,147.14,14916.69,33157.31,28941.79,32036.35
220.15,4225.75,18.48,931.96,2.37,752.83,0.6,0,0.03,140.34,8904.35,32202.6,31283.02,28803.26
264.75,2493,27.21,971.09,12.95,1007.87,0.76,0,0.22,645.67,6576.28,18250.14,13774.89,6717.7
214.76,1930.5,23.41,988.12,15.88,1131.1,0.67,0,0.72,184.56,2511.47,32813.53,5945.38,16956.05
197.84,2820.25,18.55,897.22,9.32,963.19,0.55,0,0.12,162.89,11993.64,13271.3,13598.8,13052.49
264.75,2583.25,27.11,825.89,12.48,1110.02,0.57,0,0.14,149.5,22075.04,29539.93,1105.73,2804.91
264.75,2431,32.58,819.59,12.14,1078.55,0.62,0,0.27,174.72,18289.54,27214.11,3669.81,350
264.75,2174.75,27.63,995.54,14.92,1092.86,0.74,0,0.29,643.05,8664.15,26530.13,2263.3,5962.17
264.75,1442.75,12.92,849.86,18.29,1232.39,0.64,0,0.58,379.8,8647.98,39555.37,36850.34,5275.18
264.75,2817,20.34,823.73,11.38,1063.72,0.7,0,0.26,147.16,30843.27,20450.12,5985.61,9966.32
175.54,2648.5,32.1,822.08,11.62,1075.53,0.67,0,0.38,163.86,6150.41,40062.54,15404.14,6417.75
214.77,1856.5,13.66,837.81,16.04,1143.03,0.64,0,0.7,1185.28,3842.85,25626.7,3253.84,5231.4
264.75,2622.75,13.5,837.56,12.36,1119.51,0.62,0,0.2,154.41,30586.07,32701.8,8412.34,10071.12
264.75,1810.5,31.66,1001.12,15.5,1124.11,0.61,0,0.23,178.63,1710.99,22170.42,17459.31,16104.27
164.78,1754.75,24.43,839.17,18.93,1318.07,0.49,0.83,0.27,1212.87,2273.21,5312.96,3575.96,4790.35
264.75,2815.17,23.65,829.49,10.99,1060.32,0.7,0,0.06,126.14,40721.55,23733.2,15608.08,9789.07
264.75,3749.14,23.53,758.25,4.51,829.6,0.72,0,0.01,41.92,7134.41,68861.04,44956.16,8003.5
264.75,2786.25,32.68,772.11,11.02,1107.14,0.58,0,0.35,130.33,8278.13,49564.18,32913.94,983.62
264.75,3200.5,18.17,822.89,9.01,984.79,0.76,0,0.08,169.98,17813.13,22913.04,9753.33,5179.53
239.76,2525.75,28.46,987.28,10.79,997.62,0.72,0,0.44,203.38,7385.63,44836.68,4341.37,15559.8
164.78,2357.5,6.3,861.82,13.19,1178.38,0.44,0,0.85,189.92,13748.73,19902.95,2706.48,16383.15
264.75,2874.63,7.72,858.02,10.8,1026.77,0.67,0,0.21,330.77,26759.59,40495.23,16843.79,15994.85
264.75,2540.25,16.13,841.51,12.23,1145.56,0.62,0,0.4,142.89,17120.38,24781.6,3479.58,4231.73
264.75,1593.02,27.53,844.54,18.1,1238.57,0.69,0,0.6,367.04,2074.17,25884.63,19178.88,1474.1
264.75,2971.75,31.31,993.08,8.57,913.36,0.71,0,0.12,150.89,7154.54,47985.49,24391.14,21206.78
164.78,3134.71,19.1,815.02,8.77,965.66,0.74,0,0.16,137.87,22355.99,18397.76,6888.75,8868.21
264.75,2551.5,14.27,974.24,11.84,970.44,0.71,0,0.19,641.39,9519.85,22250.11,17380.09,4813.26
197.84,2347,37.24,809.32,12.09,1110.41,0.75,0,0.23,163.18,10762.32,35936.16,24332.85,430.02
264.75,2276.32,24.79,854,15,1116.49,0.69,0,0.38,1206.94,1839.23,18480.88,1043.37,8491.34
175.54,1926.04,15.91,818.19,18.15,1292.9,0,0,0.1,577,6110.72,17049.24,1764.54,13646.21
172.85,1349.25,34.13,760.03,20.72,1361.1,0.46,0,1.21,375.65,653.85,31930.04,3368.61,6085.02
264.75,1612.75,17.3,837.25,17.89,1233.28,0.52,0,0.53,1218.74,2933.85,20169.96,4302.03,5080.11
264.75,2899.48,11.59,848.79,10.6,1034.88,0.72,0,0.17,330.91,33712.03,36206.49,20141.26,7864.26
164.78,1441.75,18.26,803.83,19.83,1358.3,0.51,0,0.3,1367.43,6775.51,13229.8,295.81,8350.3
239.76,2789.5,15.78,915.63,10.33,1067.25,0.59,0,0.5,185.48,8245.45,19445.5,3395.22,13690.42
164.78,2128.5,10.22,811.71,13.52,1166.12,0.59,0.52,0.68,196.86,12009.48,39534.89,22964.48,50
264.75,2164.25,37.23,925.41,14.48,1077.89,0.67,0,0.26,367.18,2899.57,36307.95,22244.72,1344.43
242.45,1976.5,5.5,839.94,16.64,1258.05,0.46,0,1.17,377.83,5150.49,31265.44,9893.81,750
264.75,2561,17.2,988.96,12.31,1032.54,0.73,0,0.17,370.38,8062.72,30793.63,5319.53,5580.99
197.84,3504.75,21.37,912.6,5.95,860.11,0.6,0,0.05,231.75,20552.55,22981.03,20795.37,12535.85
264.75,3169.26,12.51,814.61,8.88,988,0.69,0,0.07,128.72,12670.65,32679.96,27160.22,6594.63
97.01,2638,6.69,864.91,11.5,1081.34,0.57,0,0.19,162.39,24811.44,29700.63,14775.23,753.33
175.54,2727.75,25.75,853.32,10.28,1030.93,0.6,0,0.3,53.29,5250.48,7362.57,4217.52,5614.94
214.76,3162.75,22.35,991.59,8.08,912.29,0.59,0,0.09,212.65,16981.97,27278.7,10270.71,21850.12
264.75,3085,18.53,879.85,9.22,967.04,0.69,0,0.1,338.09,28213.25,41600.57,23968.89,5391.43
264.75,1500,29.42,964.02,17.95,1191.78,0.61,0,0.56,217.32,1175.86,34587.97,3296.59,12957.91
264.75,2502.75,21.51,956.87,13.62,1045.69,0.74,0,0.08,634.13,3238.05,32530.72,7850.32,4271.71
175.54,2936,12.17,864.24,9.5,1006.21,0.58,0,0.5,141.5,16290.1,30773.49,517.21,10179.76
242.45,3109.5,27.15,977.27,7.94,922.51,0.74,0,0.02,156.92,10572.99,46734.65,9910.98,19790.09
264.75,2648.25,22.54,934.75,12.45,1009.83,0.71,0,0.05,337.39,23914.17,25458.35,20940.57,9737.94
264.75,2700.25,19.33,817.05,10.3,1028.5,0.73,0,0.18,127.77,14570.09,33048.56,26998.29,7630.69
264.75,1726.25,24.63,940.44,17.54,1165.43,0.67,0,0.22,179.03,3412.84,40706.85,9086.67,1956.4
175.54,2622.75,1.29,874.83,11.46,1136.13,0.48,0,0.88,150.39,16298.7,26760.56,18950.66,25817.97
264.75,3731,31.59,845.86,6.34,901.6,0.55,0,0.06,51.49,5131.03,15119.77,2372.24,4879.29
264.75,3088.5,29.07,728.59,8.13,964.98,0,0,0.03,55.83,5503.99,71374.77,50306.16,9753.92
0.19,2690,0,764.1,11.55,1019.37,0.72,0,0,108.66,0,48129.39,40296.42,3454.8
264.75,1651,17.42,844.26,18.45,1279.74,0.6,0,0.33,1172.31,1768.47,16589.98,5150.49,6797.61
164.78,2445.25,10.25,874.55,12.91,1190.36,0.53,0.46,3,228.06,4412.2,4257.64,1329.47,1835.08
189.77,1189.25,2.6,887.57,19.08,1225.71,0.55,0,0.07,381.89,2885.74,18661.93,15922.55,135.36
264.75,2080.11,25.64,866.54,14.36,1121.26,0,0,0.4,371,9378.88,18773.71,17878.18,3234.05
164.78,2697.76,3.24,772.55,11.26,1033.6,0.43,0,0.67,147.63,489.52,51773.49,39280.24,10.48
264.75,3771.75,27.3,748.32,4.05,809.82,0.7,0,0.01,41,4790.35,69631.95,48104.34,7907.43
220.15,1884.5,39.04,1002.92,15.58,1138.68,0.67,0,0.33,413.67,4288.06,20236.79,16264.92,15428.14
170.16,2988,2.29,850.36,10.34,1062.84,0.58,0,0.34,179.89,14513.01,21820.35,8199.24,11541.56
167.47,2017.25,26.2,881.58,15.34,1181.01,0.63,0,0.55,411.75,20474.07,40842.72,30729.59,1275.74
220.15,1785,31.85,980.23,16.1,1114.65,0.61,0,0.3,712.43,3386.37,32184.59,2950,2438.75
239.76,3038.75,32.77,781.27,10.1,1014.81,0.72,0,0.7,122.49,1835.08,48127,36020.1,1458.6
18.48,1147,10.55,815.6,21.52,1419.82,0.34,3.35,0.81,1415.04,864.59,13756,6022.25,4563.72
264.75,2385.5,29.59,986.1,11.82,1060.05,0.72,0,0.28,1619.75,4165.03,32544.24,14850.84,5703.29
170.16,2513,5.98,846.2,12.4,1127.28,0.45,0,0.47,189.12,18772.52,24619.66,8393.3,887.41
264.75,2809.25,18.41,979.45,10.71,945.87,0.69,0,0.1,172.5,16130.33,28672.77,8816.32,15997.73
264.75,1993.75,23.44,994.98,14.72,1115.26,0.68,0,0.23,176.2,2875.47,35965.64,3459.41,5771.27
264.75,3137.39,12.28,823.36,8.95,951.3,0.71,0,0.19,221.46,24288.88,18624.42,1979.22,7725.97
164.78,1633.25,33.54,960.49,17.66,1170.25,0.61,0,0.93,891.02,4217.52,11164.56,3702.36,4017.15
264.75,3351.75,24.68,872.45,7.57,902.11,0.75,0,0.07,154.86,17527.34,21450.58,15193.67,7650.33
264.75,1507.92,27.39,804.34,19.49,1340.32,0.53,0,0.03,1140.36,3462.65,16297.54,3412.59,5481.25
189.95,2512.21,5.24,796.63,12.73,1129.06,0,0,0.21,137.35,23198.38,21416.48,15797.77,945.55
214.77,3621.75,5.6,819.18,6.27,892.26,0.66,0,0.04,113.89,7332.63,42953.55,31670.93,6583.88
231.45,1741.02,16.24,861.83,15.88,1155.88,0.7,0,0.43,354.69,6813.09,21604.07,12631.61,7773.3
264.75,1644.75,14.5,873.16,19.22,1253.61,0.58,0,0.1,1118.43,6299.8,8358.68,6441.08,6158.53
239.76,2223.5,25.04,987.98,12.62,1053.46,0.75,0,0.26,184.02,3160.3,44352.31,22159.59,17219.97
175.54,2850.5,18.56,915.39,10.02,993.85,0.7,0,0.31,174.14,13770.53,27309.48,20249.63,22235.72
175.54,3144.5,21.6,894.82,7.16,886.92,0.7,0,0.09,161.12,12572.49,14075.78,13826.33,13524.33
264.75,3275.25,24.99,937.12,6.18,900.28,0.65,0,0.03,149.39,16699.93,38374.57,25614.6,33704.71
197.84,2899.5,31.83,926.49,10.18,1061.28,0.6,0,0.33,144.02,18362.12,35478.28,26271.8,33091.2
170.16,2594.5,11.13,870.48,11.79,1122.1,0.52,0,0.49,167.26,17493.07,20691.24,7808.17,19552.17
214.77,2622.5,17.23,884.85,11.47,1057.04,0.54,0,0.25,168.42,8629.46,10398.44,9938.18,9721.5
239.76,2152,22.31,970.32,15.07,1085.85,0.62,0,0.2,917.17,4107.01,17130.89,3326.79,5550.45
195.15,2493.75,27.74,842.87,12.47,1126.32,0.63,0,0.2,155.5,25034.13,31656.4,4062.94,6820.37
175.54,2727.25,8.61,833.9,12.05,1104.73,0.63,0,0.19,167.59,26535.02,32689.56,1734.21,8140.49
167.47,2029.5,28.59,990.25,13.44,1122.71,0.68,0,0.61,1651.48,3050,33219.39,10851.15,7563.56
264.75,1362,33.45,904.54,17.56,1163.81,0.6,0,0.14,659.74,606.22,32561.75,24576.97,2772.63
264.75,2283.75,32.98,903.23,15.62,1175.67,0.73,0,0.13,806.85,15690.36,15040.86,14750.85,3777.23
175.54,2612.5,7.87,882.98,12.14,1048.49,0.57,0,0.4,348.49,26419.45,41450.3,24456.24,2123.09
264.75,2542.5,28.41,876.81,14.03,1083.23,0.67,0,0.07,1178.05,8791.33,13491.76,3950,11953.56
264.75,2100.74,25.67,829.68,15.66,1131.32,0.63,0,0.43,1265.73,5189.89,21265.55,7163.27,10174.55
239.76,2328.75,28.56,999.1,11.59,1015.44,0.72,0,0.41,200.14,5952.1,34961.8,6449.81,11406.47
264.75,2625,17.9,923.08,13.66,1046.7,0.67,0,0.08,450.5,5860.67,33031.31,30000.13,3575.96
220.15,2153.25,19.96,1011.2,13.64,1040.52,0.64,0,0.34,653.36,11765.52,23337.68,11292.81,3726.59
264.75,1714.25,16.11,847.58,18.24,1236.8,0.69,0,0.25,430.52,8511.61,40794.95,39539.19,1366.57
170.16,1333.75,5.24,831.19,20.03,1369.84,0.56,0,0.42,1298.47,7950,7143.35,6751.85,2969.45
164.78,1032.25,14.17,809.56,21.41,1415.25,0.48,1.23,0.34,2187.47,150,9707.08,25,357.13
172.85,1807,5.48,848.79,16.92,1178.43,0.6,0,0.36,1243.36,4357.46,25527,750,8451.48
18.48,2438.25,1.29,892.84,12.88,1183.59,0.59,0,1.08,217.32,5252.38,11319.34,764.93,6373.97
175.54,1794.55,5.4,798.58,17.92,1343.88,0.39,0,1.15,405.55,10667.92,29638.7,15433.08,3413.67
203.18,2092.25,26.1,969.63,14.62,1105.92,0.63,0,0.53,336.3,7288.86,16108,6050,7284.74
242.45,2607.25,27.28,983.54,12.27,1026.93,0.7,0,0.22,176,10253.17,32590.3,5602.45,25111.1
189.77,2824.25,27.17,809.97,10.84,1087.72,0.58,0,0.19,144.76,13261.5,37328.38,24204.29,4425.78
242.45,2037,12.42,903.57,15.86,1156.13,0.73,0,0.31,422.29,27219.98,33258.5,29357.24,1550
264.75,2622,8.46,900.58,11.9,1142.7,0.54,0,0.4,156.52,5517.93,20102.92,14311.1,17129.73
214.77,2701.75,13.18,976.62,11.62,993.09,0.77,0,0.1,363.63,6037.18,27891.35,8081.31,13256.98
264.75,1617,16.4,853.69,17.85,1187.87,0.75,0,0.56,356,5661.05,35347.24,31031.4,2695.83
264.75,2702.25,27.92,854.86,11.52,1086.98,0.67,0,0.24,145.64,16471.41,25654,10666.18,11709.29
260.76,1656.68,25.75,806.72,18.95,1323.17,0,0,0.13,1153.41,5310.64,16466.26,2689.4,8274.64
175.54,3558.25,32.26,966.4,5.35,870.45,0.53,0,0.07,149.89,15374.25,40907.3,26662.1,28439.54
164.78,2361.5,1.65,877.16,13.14,1208.48,0.5,0,1.6,205.87,7995.47,10776.25,9730.75,10254.15
264.75,3547.25,22.25,835.76,6.3,895.7,0.61,0,0.05,129.5,15983.98,30630.17,16475.66,8202.9
264.75,2925.5,19.95,963.4,9.25,940.16,0.79,0,0.02,151.28,7812.01,45829.33,12658.1,20013.18
164.78,1104.25,5.94,840.68,21.24,1422.55,0.49,0.46,0.16,540.62,1961.5,9750.26,1867.49,1835.08
264.75,1938.5,19.41,825.02,16.15,1142.17,0.63,0,0.49,1204.85,1757.13,24534.21,7251.72,8232.1
175.54,2404.75,42.83,899.43,13.8,1090.01,0.69,0,0.48,375.63,15673.15,45498.65,41175.81,5750
264.75,2984.5,25.99,969.14,9.68,938.82,0.71,0,0.15,170.92,20942.16,23024.5,6771.08,21179.88
164.78,2361.25,7.1,856.88,13.2,1205.32,0.52,0,2.17,186.39,6436.42,11051.13,2593.74,9267.55
164.78,1727.25,1.49,996.41,16.4,1169.92,0.59,0,2.37,674.18,11183.36,23971.81,211.97,7794.07
264.75,2320.25,17.78,966.94,12.12,1062.75,0.75,0,0.25,166.9,16467.16,36443.48,1627.11,23231.61
264.75,1779.75,13.17,906.2,16.18,1140.22,0.64,0,0.08,366.39,13710.12,15133.65,15101.9,7763.21
264.75,2549.5,4.96,855.29,12.26,1159.49,0.56,0,0.55,149.89,15212.74,19496.86,2351.06,17930.07
167.47,2585.75,7.25,838.79,11.93,1110.18,0.48,0,0.63,196.97,21778.6,28073.61,5894.7,3650.68
264.75,2199.75,12.82,956.56,15.38,1101.66,0.72,0,0.47,437.41,4962.61,41369.64,14220.67,1061.84
214.77,1511.75,14.87,950.47,16.66,1156.38,0.67,0,0.62,345.85,15537.94,32986.78,16999.04,11560.6
264.75,2273,33.11,892.26,14.64,1116.93,0.74,0,0.16,420.03,21119.84,38263.92,34738.27,6618.72
264.75,3153.25,26,957.45,8.27,860.93,0.72,0,0.05,634.16,6482.86,28506.97,13220.72,8128.19
197.84,2523,32.26,849.12,11.79,1062.5,0.73,0,0.16,56,11059.27,23987.65,2351.06,2620.59
175.54,2804.25,6.3,860.24,10.24,1044.64,0.5,0,0.25,145.62,19225.18,24374.73,10102.85,22891.65
239.76,1989.5,31.06,990.03,15.88,1148.52,0.65,0,0.32,183.03,7849.04,33943,3166.62,21122.68
264.75,3573.5,22.29,933.26,6.55,888.77,0.6,0,0.08,147.78,14000.8,34701.69,28355.38,33881.08
264.75,3450.5,12.87,800.94,6.45,901.28,0.7,0,0.08,112,4819.49,46739.79,33836.78,4174.63
264.75,3102.25,11.82,864.35,9.55,1005.02,0.62,0,0.31,173.83,14384.28,26983.84,9730.75,15643.13
264.75,2110.3,27.63,877.86,14.84,1128.92,0,0,0.36,360.46,5931.23,31267.1,33604.93,8354.36
264.75,3425,32.94,970.32,6.7,866.99,0.58,0,0.08,171.89,15270.48,23835.43,4720.96,18969.12
264.75,2459,25.62,874.42,14.19,1100.55,0.74,0,0.19,344.49,7591.28,34753.81,34026.28,10308.61
220.15,3110.5,28.25,969.61,9.1,941.91,0.63,0,0.38,179.32,13884.79,17836.13,3290.52,14580.38
214.77,1281.5,26.05,852.66,19.52,1250.68,0.53,0,1.35,446.46,13349.44,36257.79,31169.34,550
264.75,1791.5,17.1,983.29,16.81,1155,0.73,0,0.2,666.84,4497.5,14541.24,7652.94,3956.32
264.75,2079.75,24.28,911.95,15.28,1138.66,0.66,0,0.6,356.66,18674.25,41377.86,33435.42,2363.79
264.75,2947.5,29.85,966.91,9.29,950.19,0.69,0,0.32,174.54,12472.67,37951.65,4648.39,19982.68
264.75,1817.5,11.36,999.9,15.74,1144.29,0.68,0,0.43,683.27,12141.36,22401.95,13476.92,25
214.77,2323.25,14.22,960.93,13.91,1100.97,0.59,0.56,1.16,338.49,9041.43,16045.79,6876.59,5354.2
264.75,2293.75,14.48,909.99,15,1111.23,0.71,0,0.4,384.43,6223.14,24996.55,4739.99,8106.02
264.75,1545.75,38.63,995.16,17.11,1166.94,0.61,0,0.21,314.28,2150,18174.91,19616.51,12188.01
264.75,1929,27.06,933.15,16.39,1145.14,0.63,0,0.17,391.1,5131.03,21463.17,19191.86,3296.59
239.76,1861,29.28,975.75,16.58,1155.94,0.69,0,0.33,775.49,3753.33,36141.39,2303.8,5661.05
197.84,2623.75,23.91,973.98,10.17,956.78,0.66,0,0.2,179.64,15555.95,21357.14,85.36,17499.36
